I poke many times,not serious
I felt swollen belly,not serious
My feces had putrid smell,not serious
I experienced nausea,not serious
I am experiencing nausea,not serious
I am feeling empty stomach,not serious
I am sweating too much,not serious
I am really sweating,not serious
I am having too much gases,not serious
I am too hungry,not serious
I am eager to eat,not serious
I am with diarrhea,not serious
The food is getting stuck in throat,not serious
I am bleeding when defecating,serious
I am bleeding when I have diarrhea,serious
I am having trouble breathing,serious
excessive tiredness,serious
Extreme stomach pain,serious
I had a blackout,serious
I have high fever,serious
I poke and the vomit had blood,serious
I experienced acute abdominal pain,serious
